date,Operating Cash Flow,Free Cash Flow,Investing Cash flow,Financing Cash Flow,Ticker
2017-09-30,15656000000.0,11656000000.0,-9942000000.0,-3996000000.0,AAPL
2017-07-01,8363000000.0,6003000000.0,-3180000000.0,-1769000000.0,AAPL
2017-04-01,12523000000.0,9508000000.0,-14202000000.0,465000000.0,AAPL
2016-12-31,27056000000.0,23636000000.0,-19122000000.0,-12047000000.0,AAPL
2016-09-24,16126000000.0,12088000000.0,-7397000000.0,-6482000000.0,AAPL
2016-06-25,10634000000.0,7729000000.0,-4470000000.0,-9441000000.0,AAPL
2016-03-26,11601000000.0,9002000000.0,-13660000000.0,6884000000.0,AAPL
2015-12-26,27463000000.0,23457000000.0,-20450000000.0,-11444000000.0,AAPL
2015-09-26,13475000000.0,9817000000.0,-1375000000.0,-6299000000.0,AAPL
2015-06-27,14988000000.0,12899000000.0,-11403000000.0,-2755000000.0,AAPL
2015-03-28,19081000000.0,16605000000.0,-22331000000.0,-1739000000.0,AAPL
2014-12-27,33722000000.0,30457000000.0,-21165000000.0,-6923000000.0,AAPL
2014-09-27,13250000000.0,9398000000.0,2997000000.0,-15380000000.0,AAPL
2014-06-28,10255000000.0,7824000000.0,-22214000000.0,5987000000.0,AAPL
2014-03-29,13538000000.0,12052000000.0,11741000000.0,-20407000000.0,AAPL
2013-12-28,22670000000.0,20626000000.0,-15103000000.0,-7749000000.0,AAPL
2013-09-28,9908000000.0,7602000000.0,611000000.0,-7508000000.0,AAPL
2013-06-29,7828000000.0,5812000000.0,-6507000000.0,-2126000000.0,AAPL
2013-03-30,12504000000.0,10205000000.0,-14357000000.0,-2248000000.0,AAPL
2012-12-29,23426000000.0,20971000000.0,-13521000000.0,-4497000000.0,AAPL
2012-09-29,9136000000.0,5635000000.0,-4313000000.0,-2022000000.0,AAPL
2012-06-30,10189000000.0,7226000000.0,-12310000000.0,-55000000.0,AAPL
2012-03-31,13977000000.0,12468000000.0,-14476000000.0,310000000.0,AAPL
2011-12-31,17554000000.0,16125000000.0,-17128000000.0,69000000.0,AAPL
2011-09-24,10429000000.0,5858000000.0,-13136000000.0,431000000.0,AAPL
2011-06-25,11108000000.0,10146000000.0,-15032000000.0,37000000.0,AAPL
2011-03-26,6219000000.0,5563000000.0,-1522000000.0,547000000.0,AAPL
2010-12-25,9773000000.0,8510000000.0,-10729000000.0,429000000.0,AAPL
2010-09-25,5683000000.0,4870000000.0,-4383000000.0,256000000.0,AAPL
2010-06-26,4801000000.0,4175000000.0,-5430000000.0,316000000.0,AAPL
2010-03-27,2330000000.0,2029000000.0,-83000000.0,162000000.0,AAPL
2009-12-26,5781000000.0,5400000000.0,-3958000000.0,523000000.0,AAPL
2009-09-26,3110000000.0,2638000000.0,-3771000000.0,319000000.0,AAPL
2009-06-27,2270000000.0,1998000000.0,-1339000000.0,208000000.0,AAPL
2009-03-28,841000000.0,725000000.0,-3685000000.0,74000000.0,AAPL
2008-12-27,3938000000.0,3585000000.0,-8639000000.0,62000000.0,AAPL
2008-09-27,4295000000.0,3873000000.0,-1993000000.0,200000000.0,AAPL
2008-06-28,1321000000.0,991000000.0,-1372000000.0,354000000.0,AAPL
