"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 24, 2021","93.275","93.090","93.340","93.090","0.02K","0.33%"
"Sep 23, 2021","92.970","93.420","93.450","92.935","0.09K","-0.45%"
"Sep 22, 2021","93.390","93.145","93.445","93.000","0.07K","0.26%"
"Sep 21, 2021","93.145","93.175","93.175","93.000","0.03K","-0.06%"
"Sep 20, 2021","93.201","93.270","93.350","93.160","0.02K","0.09%"
"Sep 17, 2021","93.121","92.785","93.140","92.730","0.02K","0.28%"
"Sep 16, 2021","92.859","92.575","92.890","92.575","0.09K","0.42%"
"Sep 15, 2021","92.474","92.585","92.590","92.390","0.02K","-0.08%"
"Sep 14, 2021","92.549","92.560","92.590","92.240","0.08K","-0.11%"
"Sep 13, 2021","92.650","92.600","92.880","92.550","19.90K","0.08%"
"Sep 10, 2021","92.574","92.515","92.650","92.315","21.09K","0.11%"
"Sep 09, 2021","92.474","92.685","92.765","92.365","31.99K","-0.18%"
"Sep 08, 2021","92.644","92.550","92.850","92.470","14.37K","0.15%"
"Sep 07, 2021","92.509","92.165","92.575","92.100","17.59K","0.53%"
"Sep 06, 2021","92.019","92.100","92.305","92.100","2.02K","0.00%"
"Sep 03, 2021","92.019","92.225","92.255","91.935","5.95K","-0.23%"
"Sep 02, 2021","92.233","92.510","92.540","92.200","1.40K","-0.24%"
"Sep 01, 2021","92.454","92.665","92.790","92.380","1.13K","-0.20%"
"Aug 31, 2021","92.635","92.700","92.750","92.410","1.30K","-0.02%"
"Aug 30, 2021","92.657","92.710","92.785","92.605","0.49K","-0.04%"
"Aug 27, 2021","92.695","93.080","93.180","92.630","1.83K","-0.40%"
"Aug 26, 2021","93.068","92.820","93.075","92.805","0.49K","0.27%"
"Aug 25, 2021","92.820","92.900","93.110","92.810","0.47K","-0.07%"
"Aug 24, 2021","92.886","93.000","93.070","92.800","0.56K","-0.07%"
"Aug 23, 2021","92.951","93.450","93.505","92.950","0.76K","-0.58%"
"Aug 20, 2021","93.493","93.585","93.710","93.440","0.33K","-0.08%"
"Aug 19, 2021","93.568","93.220","93.575","93.220","0.61K","0.48%"
"Aug 18, 2021","93.124","93.130","93.250","92.960","0.39K","0.00%"
"Aug 17, 2021","93.120","92.610","93.140","92.610","0.22K","0.56%"
"Aug 16, 2021","92.599","92.490","92.635","92.460","0.19K","0.11%"
"Aug 13, 2021","92.501","92.970","92.980","92.450","0.50K","-0.55%"
"Aug 12, 2021","93.013","92.890","93.010","92.830","0.16K","0.12%"
"Aug 11, 2021","92.898","93.065","93.175","92.800","0.32K","-0.14%"
"Aug 10, 2021","93.025","92.960","93.105","92.920","0.45K","0.12%"
"Aug 09, 2021","92.915","92.805","92.975","92.700","0.17K","0.15%"
"Aug 06, 2021","92.780","92.270","92.825","92.255","0.20K","0.59%"
"Aug 05, 2021","92.239","92.280","92.315","92.115","0.17K","-0.02%"
"Aug 04, 2021","92.259","92.075","92.295","91.800","0.29K","0.21%"
"Aug 03, 2021","92.063","92.045","92.125","91.900","0.14K","0.02%"
"Aug 02, 2021","92.040","92.100","92.145","91.900","0.33K","-0.14%"
"Jul 30, 2021","92.168","91.880","92.170","91.775","0.16K","0.35%"
"Jul 29, 2021","91.851","92.240","92.270","91.840","0.71K","-0.48%"
"Jul 28, 2021","92.292","92.460","92.700","92.220","0.31K","-0.13%"
"Jul 27, 2021","92.411","92.545","92.825","92.305","0.28K","-0.24%"
"Jul 26, 2021","92.631","92.880","92.915","92.530","0.47K","-0.30%"
"Jul 23, 2021","92.908","92.800","93.000","92.760","0.26K","0.11%"
"Jul 22, 2021","92.810","92.785","92.885","92.495","0.53K","0.07%"
"Jul 21, 2021","92.745","92.970","93.160","92.710","0.43K","-0.23%"
"Jul 20, 2021","92.959","92.830","93.160","92.810","0.40K","0.09%"
"Jul 19, 2021","92.880","92.690","93.010","92.615","0.46K","0.23%"
"Jul 16, 2021","92.667","92.545","92.740","92.525","0.10K","0.07%"
"Jul 15, 2021","92.606","92.385","92.650","92.285","0.12K","0.24%"
"Jul 14, 2021","92.385","92.765","92.775","92.335","0.15K","-0.38%"
"Jul 13, 2021","92.734","92.195","92.790","92.195","0.11K","0.54%"
"Jul 12, 2021","92.236","92.120","92.370","92.075","0.06K","0.14%"
"Jul 09, 2021","92.103","92.370","92.465","92.080","0.10K","-0.32%"
"Jul 08, 2021","92.395","92.700","92.760","92.245","0.17K","-0.25%"
"Jul 07, 2021","92.625","92.515","92.820","92.470","0.12K","0.12%"
"Jul 06, 2021","92.518","92.230","92.640","91.985","0.18K","0.14%"
"Jul 05, 2021","92.393","92.235","92.320","92.135","0.10K","0.00%"
"Jul 02, 2021","92.393","92.530","92.695","92.170","0.20K","-0.21%"
"Jul 01, 2021","92.583","92.330","92.585","92.250","0.13K","0.18%"
