,date,Revenue,Operating Income,Net Income,EBITDA,Ticker
99,2016-09-24,1307000000.0,-293000000.0,-406000000.0,-328000000.0,AMD
100,2016-06-25,1027000000.0,-8000000.0,69000000.0,172000000.0,AMD
101,2016-03-26,832000000.0,-68000000.0,-109000000.0,-35000000.0,AMD
102,2015-12-26,958000000.0,-49000000.0,-102000000.0,-17000000.0,AMD
103,2015-09-26,1061000000.0,-158000000.0,-197000000.0,-116000000.0,AMD
104,2015-06-27,942000000.0,-137000000.0,-181000000.0,-95000000.0,AMD
105,2015-03-28,1030000000.0,-137000000.0,-180000000.0,-91000000.0,AMD
106,2014-12-27,1239000000.0,-330000000.0,-364000000.0,-278000000.0,AMD
107,2014-09-27,1429000000.0,63000000.0,17000000.0,111000000.0,AMD
108,2014-06-28,1441000000.0,63000000.0,-36000000.0,67000000.0,AMD
109,2014-03-29,1397000000.0,49000000.0,-20000000.0,82000000.0,AMD
110,2013-12-28,1589000000.0,134000000.0,89000000.0,188000000.0,AMD
111,2013-09-28,1461000000.0,95000000.0,48000000.0,155000000.0,AMD
112,2013-06-29,1161000000.0,-29000000.0,-74000000.0,74000000.0,AMD
113,2013-03-30,1088000000.0,-98000000.0,-146000000.0,-122000000.0,AMD
114,2012-12-29,1155000000.0,-422000000.0,-473000000.0,-358000000.0,AMD
115,2012-09-29,1269000000.0,-131000000.0,-157000000.0,-47000000.0,AMD
116,2012-06-30,1413000000.0,77000000.0,37000000.0,139000000.0,AMD
117,2012-03-31,1585000000.0,-580000000.0,-590000000.0,-516000000.0,AMD
118,2011-12-31,1691000000.0,71000000.0,-177000000.0,-68000000.0,AMD
119,2011-10-01,1690000000.0,138000000.0,97000000.0,213000000.0,AMD
120,2011-07-02,1574000000.0,105000000.0,61000000.0,191000000.0,AMD
121,2011-04-02,1613000000.0,54000000.0,510000000.0,648000000.0,AMD
122,2010-12-25,1649000000.0,413000000.0,375000000.0,545000000.0,AMD
123,2010-09-25,1618000000.0,128000000.0,-118000000.0,33000000.0,AMD
124,2010-06-26,1653000000.0,125000000.0,-43000000.0,156000000.0,AMD
125,2010-03-27,1574000000.0,182000000.0,257000000.0,308000000.0,AMD
126,2009-12-26,1646000000.0,1288000000.0,1200000000.0,1814000000.0,AMD
127,2009-09-26,1396000000.0,-77000000.0,-106000000.0,57000000.0,AMD
128,2009-06-27,1184000000.0,-249000000.0,-310000000.0,-146000000.0,AMD
129,2009-03-28,1177000000.0,-298000000.0,-408000000.0,-109000000.0,AMD
130,2008-12-27,1162000000.0,-1729000000.0,-1436000000.0,-1153000000.0,AMD
131,2008-09-27,1797000000.0,131000000.0,-134000000.0,117000000.0,AMD
132,2008-06-28,1362000000.0,-143000000.0,-1195000000.0,-1004000000.0,AMD
133,2008-03-29,1487000000.0,-264000000.0,-364000000.0,-164000000.0,AMD
134,2007-12-29,1737000000.0,-1678000000.0,-1772000000.0,-1618000000.0,AMD
135,2007-09-29,1682000000.0,-226000000.0,-396000000.0,-254000000.0,AMD
136,2007-06-30,1378000000.0,-457000000.0,-600000000.0,-242000000.0,AMD
137,2007-03-31,1233000000.0,-504000000.0,-611000000.0,-274000000.0,AMD
138,2006-12-31,1772853000.0,-526881000.0,-573826000.0,-202969000.0,AMD
139,2006-10-01,1327600000.0,119172000.0,134500000.0,185922000.0,AMD
140,2006-07-02,1216400000.0,102109000.0,88800000.0,282146000.0,AMD
141,2006-03-26,1332200000.0,258600000.0,184500000.0,370110000.0,AMD
142,2005-12-25,1838300000.0,205715000.0,95600000.0,452071000.0,AMD
143,2005-09-25,1522800000.0,78728000.0,76000000.0,335535000.0,AMD
144,2005-06-26,1259900000.0,-7131000.0,11300000.0,301002000.0,AMD
145,2005-03-27,1226600000.0,-45657000.0,-17400000.0,289536000.0,AMD
146,2004-12-26,1263700000.0,18725000.0,-30000000.0,377406000.0,AMD
147,2004-09-26,1239500000.0,68358000.0,43800000.0,328283000.0,AMD
148,2004-06-27,1261800000.0,72440000.0,32200000.0,300237000.0,AMD
149,2004-03-28,1236400000.0,61286000.0,45100000.0,315326000.0,AMD
150,2003-12-28,1205600000.0,45815000.0,43200000.0,409528000.0,AMD
151,2003-09-28,953800000.0,-30229000.0,-31200000.0,226982000.0,AMD
152,2003-06-29,645300000.0,-123498000.0,-140100000.0,-4506000.0,AMD
153,2003-03-30,714600000.0,-125473000.0,-146400000.0,92059000.0,AMD
154,2022-04-30,2972064000.0,918161000.0,783273000.0,1504899000.0,ADI
