date,Total assets,Total liabilities,Total debt,Receivables,Cash and cash equivalents,Ticker
2005-12-25,7288000000.0,3936000000.0,1370225000.0,948000000.0,633000000.0,AMD
2005-09-25,8160000000.0,5186000000.0,2009528000.0,870000000.0,806000000.0,AMD
2005-06-26,7773000000.0,4926000000.0,1896645000.0,736000000.0,1220000000.0,AMD
2005-03-27,7822000000.0,4887000000.0,1870085000.0,698000000.0,662000000.0,AMD
2004-12-26,7844000000.0,4834000000.0,1858828000.0,720000000.0,918000000.0,AMD
2004-09-26,7282000000.0,4711000000.0,2043027000.0,791000000.0,991000000.0,AMD
2004-06-27,7009000000.0,4490000000.0,1994642000.0,745000000.0,911000000.0,AMD
2004-03-28,7003000000.0,4552000000.0,2054235000.0,669000000.0,1169000000.0,AMD
2003-12-28,7050000000.0,4611000000.0,2093266000.0,565000000.0,1186000000.0,AMD
2003-09-28,6664000000.0,4382000000.0,2081717000.0,543000000.0,995000000.0,AMD
2003-06-29,5294000000.0,3011000000.0,1664693000.0,352000000.0,703000000.0,AMD
2003-03-30,5399000000.0,3037000000.0,1930911000.0,372000000.0,429000000.0,AMD
2022-04-30,50800652000.0,13700870000.0,6253215000.0,1608254000.0,1737733000.0,ADI
2022-01-29,51215614000.0,13788302000.0,6253575000.0,1636928000.0,1790399000.0,ADI
2021-10-30,52322071000.0,14329529000.0,6822451000.0,1459056000.0,1977964000.0,ADI
2021-07-31,21641190000.0,9377227000.0,5149496000.0,823163000.0,1480701000.0,ADI
2021-05-01,21588217000.0,9421113000.0,5148046000.0,814135000.0,1305216000.0,ADI
2021-01-30,21440110000.0,9352364000.0,5146567000.0,826964000.0,1048063000.0,ADI
2020-10-31,21468603000.0,9470658000.0,5145102000.0,737536000.0,1055860000.0,ADI
2020-08-01,21599568000.0,9822008000.0,5592977000.0,681728000.0,1090264000.0,ADI
2020-05-02,21350938000.0,9760080000.0,5591168000.0,588244000.0,784937000.0,ADI
2020-02-01,21376827000.0,9687310000.0,5493762000.0,584366000.0,654408000.0,ADI
2019-11-02,21392641000.0,9683453000.0,5491919000.0,635136000.0,648322000.0,ADI
2019-08-03,21566650000.0,9776413000.0,5690077000.0,689976000.0,612164000.0,ADI
2019-05-04,21776325000.0,10034067000.0,5986530000.0,685978000.0,713601000.0,ADI
2019-02-02,21828278000.0,10242841000.0,6234517000.0,713730000.0,605864000.0,ADI
2018-11-03,20438366000.0,9170193000.0,6332674000.0,639717000.0,816591000.0,ADI
2018-08-04,20549000000.0,9692000000.0,6555500000.0,711000000.0,773000000.0,ADI
2018-05-05,20776000000.0,10191000000.0,6982000000.0,760000000.0,807000000.0,ADI
2018-02-03,20853000000.0,10506000000.0,7435000000.0,710000000.0,828000000.0,ADI
2017-10-28,21141000000.0,10980000000.0,7851000000.0,689000000.0,1048000000.0,ADI
2017-07-29,21115000000.0,11192000000.0,8199000000.0,693000000.0,909000000.0,ADI
2017-04-29,26623000000.0,16656000000.0,12893169000.0,630000000.0,5698000000.0,ADI
2017-01-28,10203000000.0,4897000000.0,3805000000.0,473000000.0,4987000000.0,ADI
2016-10-29,7970278000.0,2804660000.0,1732177000.0,477609000.0,921132000.0,ADI
2016-07-30,7685000000.0,2702000000.0,1732000000.0,453000000.0,1104000000.0,ADI
2016-04-30,7570292000.0,2696591000.0,1731336000.0,398979000.0,1119662000.0,ADI
2016-01-30,7598000000.0,2603000000.0,1731000000.0,375000000.0,1470000000.0,ADI
2015-10-31,7062178000.0,1989219000.0,873336000.0,466527000.0,884353000.0,ADI
2015-08-01,7135000000.0,2070000000.0,872752000.0,452000000.0,557000000.0,ADI
2015-05-02,7048000000.0,2084000000.0,872664000.0,409000000.0,636000000.0,ADI
2015-01-31,6821156000.0,2014946000.0,872926000.0,402350000.0,650202000.0,ADI
2014-11-01,6860000000.0,2102000000.0,873000000.0,397000000.0,569000000.0,ADI
2014-08-02,8973000000.0,3966000000.0,2868398000.0,395000000.0,2585000000.0,ADI
2014-05-03,6595000000.0,1663000000.0,873000000.0,361000000.0,403000000.0,ADI
2014-02-01,6399000000.0,1604000000.0,872000000.0,329000000.0,417000000.0,ADI
2013-11-02,6382000000.0,1642000000.0,872000000.0,325000000.0,392000000.0,ADI
2013-08-03,6139000000.0,1495000000.0,872000000.0,345000000.0,460000000.0,ADI
2013-05-04,5841000000.0,1380000000.0,758000000.0,334000000.0,596000000.0,ADI
2013-02-02,5717000000.0,1393000000.0,760000000.0,330000000.0,796000000.0,ADI
2012-11-03,5620000000.0,1455000000.0,821500000.0,340000000.0,529000000.0,ADI
2012-08-04,5457000000.0,1428000000.0,857500000.0,346000000.0,462000000.0,ADI
2012-05-05,5412000000.0,1487000000.0,862500000.0,330000000.0,695000000.0,ADI
2012-02-04,5278000000.0,1435000000.0,870500000.0,302000000.0,1097000000.0,ADI
2011-10-29,5278000000.0,1482000000.0,886500000.0,348000000.0,1405000000.0,ADI
2011-07-30,5251000000.0,1536000000.0,890500000.0,375000000.0,1358000000.0,ADI
2011-04-30,5160399000.0,1578401000.0,906932000.0,414579000.0,1894761000.0,ADI
2011-01-29,4597000000.0,1232000000.0,537500000.0,384000000.0,1570000000.0,ADI
2010-10-30,4329000000.0,1129000000.0,401000000.0,387000000.0,1070000000.0,ADI
2010-07-31,4104000000.0,1070000000.0,396000000.0,357000000.0,993000000.0,ADI
2010-05-01,3928000000.0,1038000000.0,383000000.0,332000000.0,1008000000.0,ADI
2010-01-30,3698000000.0,934000000.0,381000000.0,313000000.0,914000000.0,ADI
2009-10-31,3404294000.0,875145000.0,379626000.0,301036000.0,639729000.0,ADI
2009-08-01,3280000000.0,822000000.0,375000000.0,244000000.0,633000000.0,ADI
2009-05-02,2875000000.0,455000000.0,0.0,229000000.0,677000000.0,ADI
2009-01-31,2919190000.0,517125000.0,0.0,235352000.0,769713000.0,ADI
2008-11-01,3091000000.0,671000000.0,0.0,315000000.0,594000000.0,ADI
2008-08-02,3093000000.0,702000000.0,0.0,326000000.0,1278000000.0,ADI
2008-05-03,3016000000.0,712000000.0,0.0,332000000.0,414000000.0,ADI
2008-02-02,3135000000.0,796000000.0,0.0,340000000.0,633000000.0,ADI
2007-11-03,2971000000.0,634000000.0,0.0,324000000.0,425000000.0,ADI
2007-08-04,3166000000.0,630000000.0,0.0,351000000.0,394000000.0,ADI
2007-05-05,3687000000.0,622000000.0,0.0,332000000.0,359000000.0,ADI
2007-02-03,3824000000.0,563000000.0,0.0,345000000.0,399000000.0,ADI
2006-10-28,3987000000.0,551000000.0,0.0,306000000.0,344000000.0,ADI
2006-07-29,4292000000.0,645000000.0,0.0,360000000.0,523000000.0,ADI
2006-04-29,4403000000.0,760000000.0,0.0,358000000.0,402000000.0,ADI
2006-01-28,4374000000.0,665000000.0,0.0,318000000.0,428000000.0,ADI
2005-10-29,4583000000.0,892000000.0,0.0,321000000.0,628000000.0,ADI
2005-07-30,4700000000.0,865000000.0,0.0,302000000.0,2784000000.0,ADI
2005-04-30,4585270000.0,869402000.0,0.0,320366000.0,314368000.0,ADI
2005-01-29,4617000000.0,882000000.0,0.0,327000000.0,2598000000.0,ADI
2004-10-30,4723000000.0,924000000.0,0.0,330000000.0,519000000.0,ADI
2004-07-31,4712247000.0,931863000.0,0.0,354897000.0,383315000.0,ADI
2004-05-01,4518000000.0,919000000.0,0.0,328000000.0,712000000.0,ADI
2004-01-31,4302237000.0,864246000.0,0.0,315900000.0,1010805000.0,ADI
2003-11-01,4093000000.0,805000000.0,0.0,295000000.0,518000000.0,ADI
2003-08-02,5248000000.0,2084000000.0,1263618000.0,259000000.0,1313000000.0,ADI
2003-05-03,5135000000.0,2079000000.0,1280486000.0,243000000.0,1138000000.0,ADI
2022-03-31,6053183000.0,1689232000.0,867938000.0,722141000.0,657421000.0,ANSS
2021-12-31,6324314000.0,1840266000.0,857954000.0,918111000.0,667667000.0,ANSS
2021-09-30,5974752000.0,1635508000.0,856293000.0,624849000.0,1080838000.0,ANSS
2021-06-30,5890772000.0,1640554000.0,861534000.0,608897000.0,957704000.0,ANSS
2021-03-31,5818028000.0,1706059000.0,907657000.0,589993000.0,987427000.0,ANSS
2020-12-31,5940590000.0,1842718000.0,919058000.0,761346000.0,912672000.0,ANSS
2020-09-30,4846295000.0,1256682000.0,525700000.0,569605000.0,844741000.0,ANSS
2020-06-30,4671866000.0,1233818000.0,527268000.0,503293000.0,744546000.0,ANSS
2020-03-31,4526085000.0,1233735000.0,530642000.0,524773000.0,717748000.0,ANSS
2019-12-31,4838887000.0,1385508000.0,498531000.0,637830000.0,872094000.0,ANSS
2019-09-30,3582012000.0,658688000.0,91173000.0,430450000.0,732684000.0,ANSS
2019-06-30,3512842000.0,695556000.0,90420000.0,455635000.0,631455000.0,ANSS
2019-03-31,3372263000.0,687882000.0,87259000.0,412105000.0,607391000.0,ANSS
2018-12-31,3265964000.0,616417000.0,0.0,498553000.0,777139000.0,ANSS
2018-09-30,3056111000.0,507565000.0,0.0,361951000.0,729180000.0,ANSS
