Ticker,Date,Revenue,Operating Income,Net Income,EBITDA,Total assets,Total liabilities,Total debt,Receivables,Cash and cash equivalents,Operating Cash Flow,Free Cash Flow,Investing Cash flow,Financing Cash Flow,Adj Close
AAPL,2018-06-30,53265000000.0,12612000000.0,11519000000.0,16795000000.0,349197000000.0,234248000000.0,114600000000.0,26367000000.0,31971000000.0,14488000000.0,11221000000.0,3947000000.0,-31523000000.0,43.0968542098999
AAPL,2018-09-30,62900000000.0,16118000000.0,14125000000.0,20043000000.0,365725000000.0,258578000000.0,114483000000.0,48995000000.0,25913000000.0,19523000000.0,16482000000.0,-3001000000.0,-22580000000.0,49.67274014911954
AAPL,2018-12-31,84310000000.0,23346000000.0,19965000000.0,28191000000.0,373719000000.0,255827000000.0,114730000000.0,36981000000.0,44771000000.0,26690000000.0,23335000000.0,5844000000.0,-13676000000.0,46.389424278622585
AAPL,2019-03-31,58015000000.0,13415000000.0,11561000000.0,17843000000.0,341998000000.0,236138000000.0,112630000000.0,26278000000.0,37988000000.0,11155000000.0,8792000000.0,13348000000.0,-29457000000.0,40.76478876833056
AAPL,2019-06-30,53809000000.0,11544000000.0,10044000000.0,15710000000.0,322239000000.0,225783000000.0,108418000000.0,26474000000.0,50530000000.0,11636000000.0,9636000000.0,27502000000.0,-26804000000.0,47.00315148489816
AAPL,2019-09-30,64040000000.0,15625000000.0,13686000000.0,20116000000.0,338516000000.0,248028000000.0,108047000000.0,45804000000.0,48844000000.0,19910000000.0,17133000000.0,-798000000.0,-21039000000.0,50.63382625579834
AAPL,2019-12-31,91819000000.0,25569000000.0,22236000000.0,29519000000.0,340618000000.0,251087000000.0,108292000000.0,39946000000.0,39771000000.0,30516000000.0,28409000000.0,-13668000000.0,-25407000000.0,62.52134728431702
AAPL,2020-03-31,58313000000.0,12853000000.0,11249000000.0,16678000000.0,320400000000.0,241975000000.0,109507000000.0,30677000000.0,40174000000.0,13311000000.0,11458000000.0,9013000000.0,-20940000000.0,71.65158585579165
AAPL,2020-06-30,59685000000.0,13091000000.0,11253000000.0,16586000000.0,317344000000.0,245062000000.0,112723000000.0,32075000000.0,33383000000.0,16271000000.0,14706000000.0,-5165000000.0,-19116000000.0,75.70538729713077
AAPL,2020-09-30,64698000000.0,14775000000.0,12673000000.0,18237000000.0,323888000000.0,258549000000.0,112436000000.0,37445000000.0,38016000000.0,20576000000.0,18792000000.0,5531000000.0,-21357000000.0,106.83052253723145
AAPL,2020-12-31,111439000000.0,33534000000.0,28755000000.0,36883000000.0,354054000000.0,287830000000.0,112043000000.0,58620000000.0,36010000000.0,38763000000.0,35263000000.0,-8584000000.0,-32249000000.0,117.96359968185423
